,nb_inputs,cross_corr,legacy_cross_corr,cp_dot_computation_no_reshape,np_dot_computation_no_reshape,inputs_side_len,nb_kernels,kernels_side_len,depth,speed_up
46,1,0.0012356410002212215,0.0009288230003221543,0.0007985099996403733,0.00010801500002344255,32,7,6,1,0.7516932508356906
244,1,0.0011170060001859383,0.0008457700000690238,0.0009065929998541833,0.00018321399966225727,32,27,5,1,0.7571758790268233
288,1,0.001044995000029303,0.0007920040002318274,0.0010316329999113805,0.00020275599990782212,32,31,7,1,0.7579021911201668
34,1,0.0011293980001028103,0.0008598539998274646,0.000782670000262442,0.00010859899975912413,32,6,5,1,0.7613383410889617
102,1,0.0010197129995503929,0.0007796830000188493,0.0006654070002696244,0.00014767400034543243,32,13,4,1,0.7646102387266059
204,1,0.001090831000055914,0.0008349110003109672,0.0008771950001573714,0.00017459999980928842,32,23,5,1,0.765389872737547
134,1,0.0010615099999995437,0.000813167999694997,0.0007843759999559552,0.0001469509998059948,32,16,5,1,0.7660483647778604
172,1,0.0010393219999969006,0.0007999509998626309,0.0007359559999713383,0.00013434299989967258,32,20,4,1,0.7696854294097656
194,1,0.0010544990000198595,0.0008138329999383132,0.0008365420003428881,0.00015370600021924474,32,22,5,1,0.7717721874776421
164,1,0.0010464860001775378,0.0008121870000650233,0.0008217150002565177,0.0001595990001987957,32,19,5,1,0.7761088059727839
226,1,0.001122212000154832,0.0008713649999663176,0.0009097219999603112,0.00019553199990696157,32,25,6,1,0.7764709340535434
196,1,0.0010855959999389597,0.000847008000164351,0.0008822479999253119,0.0001347879997410928,32,22,6,1,0.7802239509098928
24,1,0.0011357259995747881,0.0008913630003917206,0.0007455509999090282,0.00012667500004681642,32,5,5,1,0.7848398299637798
224,1,0.0010792279999805032,0.0008487380000588018,0.0009114469999076391,0.0001806750001378532,32,25,5,1,0.7864306708815326
184,1,0.0010398100002930732,0.0008179120000022522,0.0008546670001123857,0.000169043000369129,32,21,5,1,0.7865975512562117
140,1,0.0011214589999326563,0.0008840330001476104,0.0007160479999583913,0.00026259600008415873,32,17,3,1,0.7882882924838952
154,1,0.0010156190000998322,0.000806254000053741,0.0008240249999289517,0.0001733969997985696,32,18,5,1,0.7938547821323634
2,1,0.0009633360000407265,0.0007651070000065374,0.0005961709998700826,0.00013450400001602247,32,3,4,1,0.7942265211454688
234,1,0.001081838000118296,0.0008610560003035062,0.0009048580000126094,0.00017910499991558027,32,26,5,1,0.7959195371297293
216,1,0.0010784870000861702,0.0008589639996898768,0.0008987310002339655,0.00018373100010649068,32,24,6,1,0.7964528080739465
114,1,0.0010099070000251231,0.0008046230000218202,0.0007765649997963919,0.0001425329996891378,32,14,5,1,0.7967297978940673
246,1,0.0011027830000784888,0.0008819109998512431,0.0009297970000261557,0.00021459800018419628,32,27,6,1,0.7997139961247811
186,1,0.0010684039998523076,0.0008547209999960614,0.0008753100000831182,0.00017942500016943086,32,21,6,1,0.7999979409607368
236,1,0.0010850740000023507,0.0008692199999131844,0.0009193050000249059,0.00021156899993002298,32,26,6,1,0.8010697887068544
26,1,0.001168861000223842,0.0009372039999107074,0.000821460999759438,0.00014475299985861056,32,5,6,1,0.8018096246955188
84,1,0.0009958480000022973,0.0008001410001270415,0.0007255049999912444,0.00013194399980420712,32,11,5,1,0.8034770367819142
64,1,0.000986076000117464,0.0007934879999993427,0.0006927229997018003,0.000143849999858503,32,9,5,1,0.8046925388152844
38,1,0.0011561089995666407,0.0009350850000373612,0.0009037049999278679,0.00017058499997801846,32,6,7,1,0.8088207949145549
176,1,0.0010702759996092936,0.0008662240002195176,0.0008837240002321778,0.00016577000042161671,32,20,6,1,0.8093463747068367
214,1,0.001046825999765133,0.0008503220001330192,0.0008933770000112418,0.00016165600027306937,32,24,5,1,0.8122859007359373
74,1,0.0010098499997184263,0.0008214740000767051,0.0007161480002650933,0.00013815600004818407,32,10,5,1,0.8134614054619542
16,1,0.0011441050000939867,0.0009318239999629441,0.0007770559996060911,0.00014953099980630213,32,4,6,1,0.8144567149749332
94,1,0.0009954790002666414,0.000811353999779385,0.0007831920001990511,0.00014472300017587258,32,12,5,1,0.8150387899313416
256,1,0.0010636809997777164,0.0008701040001142246,0.000952699999743345,0.00021220999997240142,32,28,6,1,0.818012167460033
206,1,0.0010537779999140184,0.0008661699998810946,0.000902936000329646,0.00017382099986207322,32,23,6,1,0.8219662964607047
